x: 10000000, y: 0
x: 9985681.585557971, y: 756657.9048292248, Step: 1
x: 9957095.835317355, y: 1133634.7124573865, Step: 2
x: 9914313.864187254, y: 1508995.2527469383, Step: 3
x: 9857426.55277058, y: 1882208.9080556033, Step: 4
x: 9786544.253274813, y: 2252750.31507618, Step: 5
x: 9701796.473186418, y: 2620100.0473885695, Step: 6
x: 9603331.537974754, y: 2983745.2782833255, Step: 7
x: 9491316.234071149, y: 3343180.4234964927, Step: 8
x: 9365935.433343915, y: 3697907.76357188, Step: 9
x: 9227391.7002611, y: 4047438.0456389673, Step: 10
x: 9075904.882899974, y: 4391291.064462264, Step: 11
x: 8911711.688926272, y: 4728996.222680982, Step: 12
x: 8735065.247627275, y: 5060093.070216286, Step: 13
x: 8546234.659041472, y: 5384131.8228771165, Step: 14
x: 8345504.531184202, y: 5700673.860244587, Step: 15
x: 8133174.506323635, y: 6009292.20295931, Step: 16
x: 7909558.777215145, y: 6309571.969575707, Step: 17
x: 7674985.594154955, y: 6601110.813182502, Step: 18
x: 7429796.7636661045, y: 6883519.338019235, Step: 19
x: 7174347.1395817585, y: 7156421.496344918, Step: 20
x: 6909004.107242858, y: 7419454.965836966, Step: 21
x: 6634147.061479416, y: 7672271.507816444, Step: 22
x: 6350166.878997625, y: 7914537.306609579, Step: 23
x: 6057465.385748659, y: 8145933.290365627, Step: 24
x: 5756454.8198097665, y: 8366155.433657611, Step: 25
x: 5447557.290264246, y: 8574915.042195465, Step: 26
x: 5131204.232524309, y: 8771939.019980786, Step: 27
x: 4807835.860499842, y: 8956970.119228972, Step: 28
x: 4477900.615976866, y: 9129767.17337816, Step: 29
x: 4141854.615532162, y: 9290105.313495254, Step: 30
x: 3800161.0952752368, y: 9437776.168377653, Step: 31
x: 3453289.853675641, y: 9572588.048635235, Step: 32
x: 3101716.692702734, y: 9694366.115020894, Step: 33
x: 2745922.8574764, y: 9802952.531259645, Step: 34
x: 2386394.4746010494, y: 9898206.601606244, Step: 35
x: 2023621.9893315197, y: 9980004.893339496, Step: 36
x: 1658099.6016983585, y: 10048241.344378226, Step: 37
x: 1290324.7017013784, y: 10102827.356179368, Step: 38
x: 920797.3036644598, y: 10143691.872053016, Step: 39
x: 550019.4798313193, y: 10170781.441002663, Step: 40
x: 178494.79327141447, y: 10184060.267171562, Step: 41
x: -193272.2698426554, y: 10183510.244948156, Step: 42
x: -564776.8685299556, y: 10169130.979755137, Step: 43
x: -935514.3758142253, y: 10140939.794518072, Step: 44
x: -1304980.9480006036, y: 10098971.72178076, Step: 45
x: -1672674.0943583287, y: 10043279.481405841, Step: 46
x: -2038093.2471456248, y: 9973933.443770733, Step: 47
x: -2400740.3319041883, y: 9891021.57834099, Step: 48
x: -2760120.337939119, y: 9794649.387475736, Step: 49
x: -3115741.888885841, y: 9684939.825293163, Step: 50
x: -3467117.8132485473, y: 9562033.201398408, Step: 51
x: -3813765.71477501, y: 9426087.069251474, Step: 52
x: -4155208.5425102636, y: 9277276.098929573, Step: 53
x: -4490975.160346754, y: 9115791.934016459, Step: 54
x: -4820600.915861083, y: 8941843.032331133, Step: 55
x: -5143628.208197562, y: 8755654.490190024, Step: 56
x: -5459607.05472646, y: 8557467.849880457, Step: 57
x: -5768095.656170245, y: 8347540.890009231, Step: 58
x: -6068660.959854261, y: 8126147.3983784905, Step: 59
x: -6360879.220699411, y: 7893576.92703214, Step: 60
x: -6644336.5595335355, y: 7650134.529109867, Step: 61
x: -6918629.518255497, y: 7396140.477142715, Step: 62
x: -7183365.611341639, y: 7131929.962424205, Step: 63
x: -7438163.873138471, y: 6857852.775094482, Step: 64
x: -7682655.400338312, y: 6574272.964581989, Step: 65
x: -7916483.888986451, y: 6281568.4800579995, Step: 66
x: -8139306.165319328, y: 5980130.790574096, Step: 67
x: -8350792.709683632, y: 5670364.484571526, Step: 68
x: -8550628.172736246, y: 5352686.848474503, Step: 69
x: -8738511.883075004, y: 5027527.424107039, Step: 70
x: -8914158.345400494, y: 4695327.544704952, Step: 71
x: -9077297.728260068, y: 4356539.849331386, Step: 72
